Gender,Age,Years of programming experience,Years of experience in agile projects,GPA,Highest level of education,Willingness to travel,Performance after 1 year
1,30,3,0,2.5,2,0,0
0,39,18,8,2.7,2,0,0
0,24,0,0,3.231142985859486,2,1,1
1,33,5,1,2.9,3,0,0
1,27,3,0,3.2614487327039314,3,1,1
1,28,0,0,3.1,2,1,0
1,30,4,3,2.814230701303667,1,0,1
0,29,2,0,2.8,2,0,0
1,27,6,0,3.5139640413506115,2,1,1
0,40,17,10,2.7,2,1,0
1,23,0,0,2.9801189733102604,1,1,1
1,29,8,6,2.8737959852972974,1,1,1
0,20,0,0,2.251426289831758,3,0,1
1,42,18,16,2.9,2,1,0
0,44,15,8,2.4,2,0,0
1,20,0,0,2.9691485326381355,0,1,1
1,27,0,0,2.7,2,0,0
0,36,12,6,3.723081500511066,2,0,1
0,45,19,14,2.7190931589770826,2,0,1
1,24,0,0,2.943239756757089,2,1,1
1,47,22,19,3.3614374400983613,0,0,1
0,22,0,0,2.8516480498376047,2,0,1
0,29,5,0,2.6,1,0,0
0,32,3,0,2.8204169425849663,2,1,1
1,35,5,1,3.0543144668188007,2,1,1
1,43,19,16,3.0375935388371005,0,0,1
0,20,0,0,3.0,2,1,0
1,36,11,8,3.2683914139642183,0,0,1
0,37,15,13,2.9005266507213445,2,0,1
1,47,21,15,2.857593770528813,2,0,1
0,29,10,8,2.8,1,1,0
1,36,9,4,2.9,3,0,0
1,26,0,0,2.8,1,0,0
1,50,29,25,3.633354570676609,1,0,1
0,24,0,0,3.0,2,0,0
0,20,1,0,3.0247780013882264,3,0,1
1,23,4,3,2.9557795666089146,4,1,1
1,20,0,0,2.6,2,0,0
0,52,27,23,2.7943477858561003,2,0,1
1,22,0,0,3.183756973042195,1,0,1
0,21,0,0,2.8,2,0,0
1,36,15,10,2.726023291149272,1,0,1
1,38,17,12,3.175646483250344,3,1,1
1,29,5,3,2.9256139205189733,1,0,1
1,26,2,0,2.9,2,0,0
1,33,11,8,3.1256111238747115,1,1,1
1,24,0,0,2.6,2,1,0
0,26,7,5,3.056342297619967,2,0,1
0,31,7,0,3.2360912834371725,2,0,1
1,36,14,6,3.01274027811323,0,1,1
1,38,12,0,2.877842204431722,1,0,1
1,20,0,0,3.2470086220931442,1,0,1
0,20,0,0,2.7653937128405253,1,0,1
1,39,15,12,2.8059594494027102,1,0,1
1,20,0,0,2.859531190616002,0,1,1
1,29,0,0,2.9,2,0,0
1,28,4,1,2.8,2,0,0
1,20,0,0,3.3889586507410514,0,1,1
1,37,9,6,3.652939766562186,1,1,1
1,36,5,1,2.9,3,0,0
0,21,0,0,2.611234889786921,2,0,1
0,37,12,3,3.1878219392130434,2,0,1
1,54,27,25,3.8449664568893187,1,0,1
0,38,9,5,2.8,2,0,0
0,21,0,0,2.8,1,0,0
0,31,7,4,2.4,2,0,0
1,39,9,4,2.7958482109005165,0,1,1
0,38,14,10,2.696037601039822,2,0,1
0,45,17,14,2.9,1,0,0
1,26,0,0,2.8227213758642007,2,0,1
1,25,3,0,3.315876654658499,1,0,1
1,33,2,1,3.6585325690483543,1,0,1
1,47,22,20,3.504961011226576,1,0,1
1,36,15,11,3.421052617681907,2,1,1
1,35,11,5,3.628468026798539,1,1,1
1,41,20,14,2.7192730622320607,4,0,1
1,23,0,0,3.1,3,0,0
0,31,4,0,2.9709904874954587,1,0,1
1,20,0,0,3.049385741172405,0,0,1
0,40,14,11,2.8,1,0,0
0,21,0,0,3.1284506829351755,1,0,1
0,38,10,3,3.1,1,1,0
0,31,5,0,2.9295496004050436,3,0,1
0,36,6,4,3.4406366764494933,2,0,1
0,36,10,2,3.1,2,1,0
0,48,26,22,2.902267750838703,2,0,1
1,38,15,9,2.903686631655253,0,1,1
1,20,0,0,2.9698494041537162,3,0,1
1,27,0,0,3.6111746711318733,0,1,1
1,34,12,5,3.248504200624161,2,0,1
1,42,14,11,2.9042257811002044,1,1,1
1,40,17,11,3.3934505468407994,5,1,1
1,40,11,9,3.4745342222880558,0,1,1
1,29,5,0,3.6280957602524087,0,1,1
1,22,0,0,3.3988755631155434,1,1,1
1,40,16,13,3.1,2,1,0
1,28,3,0,2.8322564589609014,1,1,1
1,29,3,0,3.020474562311846,1,0,1
1,20,0,0,3.5713668010256674,1,0,1
1,21,0,0,2.9,2,0,0
1,45,19,13,2.5,2,1,0
0,43,24,18,3.1,2,0,0
1,44,17,14,2.861102066931123,1,0,1
1,31,7,0,3.3009399903525276,1,0,1
1,20,1,0,2.243128270042205,0,1,1
0,44,13,9,2.7,2,1,0
1,38,12,10,3.437597343591279,1,1,1
0,24,0,0,3.044310248130354,2,0,1
1,36,14,9,2.8,1,0,0
1,35,8,5,2.9,2,0,0
1,35,15,8,3.2482848098441606,3,0,1
1,20,0,0,3.50147527784768,2,0,1
1,43,17,14,2.5,2,0,0
1,25,4,1,2.9,3,0,0
1,24,0,0,2.8,2,0,0
1,36,7,0,2.8150340150235325,3,1,1
1,31,9,7,2.5,2,1,0
0,40,13,8,2.8,2,0,0
1,32,11,4,2.953183226547175,0,1,1
1,24,0,0,3.047033877823882,1,0,1
0,47,23,20,3.0,2,0,0
1,34,10,8,3.1886114743132397,0,1,1
1,42,16,9,2.8304564101708145,1,1,1
1,49,22,16,3.1854275843304602,1,1,1
1,34,10,3,3.387972733556779,1,0,1
0,46,21,19,3.269814842396022,2,0,1
0,23,0,0,3.1,2,0,0
0,25,5,0,2.9,1,0,0
1,37,7,0,2.6,2,0,0
1,41,12,10,3.397221269491167,2,0,1
0,42,14,12,2.7,1,0,0
1,36,11,4,2.6,2,0,0
1,32,8,5,3.2473589107097975,2,1,1
1,48,16,13,3.196101393607511,2,1,1
1,30,5,1,3.3490110236850055,1,0,1
1,26,3,0,3.48655008468112,1,0,1
1,37,10,6,3.4852782163772438,2,1,1
0,28,0,0,2.9,2,0,0
1,26,0,0,2.934841577556292,2,0,1
1,23,0,0,3.3114375122352593,1,1,1
0,40,10,4,3.0,2,0,0
0,20,0,0,2.8,2,0,0
1,27,4,0,2.9895999733782035,3,1,1
1,38,12,11,3.1,1,1,0
1,50,26,25,3.336469250230783,0,1,1
1,27,2,0,3.3709155114199083,1,1,1
1,30,2,0,2.8,2,1,0
0,51,24,20,2.5,3,0,0
0,26,4,0,3.142508594990191,2,0,1
1,35,17,12,3.3200757962902823,1,1,1
1,42,11,8,3.2,2,0,0
1,32,6,3,2.6,2,0,0
1,28,5,0,2.7673046129568886,1,1,1
0,46,22,19,3.4880398504369694,2,0,1
0,33,12,8,3.3052677489688125,3,0,1
1,36,10,9,2.6736089500970937,0,1,1
1,20,0,0,3.223856398840087,0,1,1
1,40,19,17,3.0713590041771988,3,1,1
1,56,34,28,2.651226902354304,1,0,1
1,30,3,2,3.242059793816855,1,0,1
0,24,0,0,3.2,1,1,0
0,26,1,0,3.1,1,1,0
1,23,5,0,3.3443324702744874,3,0,1
0,30,11,1,2.829470910103047,3,0,1
1,38,10,0,2.930813405702323,1,1,1
1,28,8,4,2.558202153746425,1,1,1
0,34,5,0,2.6,2,0,0
1,28,7,5,3.924123185957102,1,1,1
1,36,20,16,2.600602829887827,3,0,1
0,29,2,0,2.8,1,0,0
1,50,26,21,2.6,2,0,0
1,26,0,0,3.019791413205078,1,1,1
0,38,17,9,2.9631462716682204,2,0,1
1,38,9,3,2.9,2,0,0
0,24,1,0,2.6,1,0,0
1,20,0,0,2.9897140158700206,1,1,1
0,39,15,13,3.0530651491378378,2,0,1
0,23,0,0,2.6,3,0,0
1,27,1,0,3.02925216951531,1,1,1
1,25,0,0,2.9,2,1,0
0,38,10,9,2.7,2,0,0
1,20,0,0,2.999487663464019,2,0,1
0,29,0,0,2.7,2,0,0
1,28,5,2,3.2621014710946437,0,0,1
1,27,5,1,3.5356730637648046,2,0,1
0,36,11,2,2.6,2,0,0
0,39,14,11,2.5,2,1,0
1,28,0,0,2.5,1,0,0
0,33,7,0,2.8,2,0,0
0,33,6,5,2.4688814316502876,2,0,1
0,27,0,0,2.8,2,0,0
0,49,21,12,2.7,2,1,0
1,45,19,13,2.7,3,0,0
1,27,0,0,2.911421377502793,0,0,1
1,34,10,6,2.9,2,0,0
1,28,5,4,3.538489074817191,4,1,1
1,28,6,0,2.786014302729648,0,1,1
1,34,9,5,3.3006181521461984,0,1,1
0,37,8,1,3.2,1,0,0
1,29,1,0,3.2106709634679156,1,1,1
1,28,6,0,3.431054823976541,1,1,1
0,28,2,0,2.7,1,0,0
1,25,0,0,2.716516988933373,0,0,1
1,21,0,0,3.2925554720473107,0,0,1
0,30,5,0,2.886096382115945,3,0,1
1,28,9,5,3.23857698248703,0,1,1
1,48,19,18,2.9,2,0,0
0,39,19,14,2.779248003709061,2,0,1
1,32,11,3,3.2146061208027485,1,1,1
1,52,26,22,3.2312405911861792,3,0,1
1,38,12,10,3.422912437877742,2,0,1
0,36,6,0,2.7,2,0,0
1,40,16,8,2.758818429685374,2,0,1
1,33,9,7,2.776630841752198,1,0,1
1,50,29,24,2.6965004020864156,2,1,1
1,23,0,0,3.5231867599022424,0,0,1
0,35,13,5,3.1734453879850646,2,0,1
1,37,16,12,3.1599484663706394,1,0,1
1,38,13,5,3.1,2,0,0
1,37,15,11,3.2127467975757,2,1,1
0,31,2,0,2.7,2,0,0
1,44,19,18,2.686034543814623,1,0,1
1,43,23,21,3.1494559868575585,3,1,1
1,46,25,17,3.3836110938389465,1,0,1
1,33,1,0,2.8,2,0,0
1,34,9,4,3.1,2,0,0
1,38,10,1,2.6,3,0,0
1,25,2,0,2.8886520353618956,0,1,1
0,55,23,15,3.387339943421892,3,0,1
1,40,12,6,3.1,2,0,0
1,34,8,3,3.075701396318442,1,1,1
1,37,12,6,3.096383733794921,1,0,1
1,47,23,22,2.6889037621952587,0,1,1
1,24,0,0,3.177801229251861,0,1,1
0,22,2,0,2.650108691722636,2,0,1
0,31,6,2,2.924048262572149,2,0,1
1,34,8,5,2.9483147850424576,3,1,1
1,31,3,0,2.943876140458866,0,0,1
1,34,2,1,3.647719854104448,0,1,1
1,38,11,4,3.510879750982901,2,1,1
1,34,7,1,2.752521691519045,0,1,1
0,29,0,0,2.9,1,1,0
0,26,0,0,3.0,1,0,0
1,44,16,11,2.7,2,0,0
1,31,8,7,2.715622231389306,2,1,1
0,29,1,0,2.6,1,0,0
1,37,12,8,2.8,3,0,0
0,47,19,14,2.8,2,0,0
1,20,0,0,2.60313838466056,1,1,1
1,42,18,11,2.6,2,1,0
1,37,13,4,2.8,2,0,0
0,33,7,6,3.0222568057428845,2,0,1
0,32,10,3,2.7,2,0,0
1,51,28,24,2.914287948053027,1,0,1
0,36,11,8,2.8,0,1,0
1,27,0,0,3.6399433458249346,0,0,1
1,39,18,17,3.0723009231734477,2,1,1
1,33,10,9,2.5455359191957454,2,0,1
0,20,0,0,3.320144253335914,2,0,1
1,20,0,0,3.2100922803437757,1,0,1
1,55,31,30,2.9,2,0,0
1,28,1,0,3.4186327059190966,3,0,1
1,38,12,8,2.9226520657921147,1,0,1
1,55,28,25,2.821888962379792,0,1,1
1,25,0,0,2.6,2,0,0
1,24,0,0,2.6,2,0,0
1,31,3,0,2.588930992229352,1,0,1
1,34,10,7,2.767608482696748,2,0,1
1,40,13,9,2.8420855034022434,0,1,1
1,38,11,8,3.1936970232510404,0,1,1
1,22,0,0,3.395848731865337,3,1,1
1,20,0,0,3.17503033943504,0,0,1
1,33,7,5,2.9,2,1,0
1,54,28,26,3.572063568210667,1,1,1
1,32,9,3,3.6988776019713123,1,1,1
1,36,11,7,3.0509222351680827,2,1,1
0,20,0,0,2.7,2,0,0
0,37,7,0,3.2,1,1,0
0,27,5,1,2.5381499293903946,3,0,1
0,53,25,16,3.2331384754862835,2,1,1
1,36,9,0,2.7398921562474476,2,1,1
1,35,8,4,2.9,2,1,0
1,29,1,0,3.3717809266741954,1,0,1
1,28,8,0,3.5295676949862362,2,0,1
1,20,0,0,2.668667693018188,2,0,1
1,23,0,0,3.0,2,0,0
0,21,0,0,3.0,2,1,0
1,37,9,6,3.0,2,0,0
1,29,4,0,3.195054918033975,2,1,1
1,37,8,2,2.5,2,1,0
1,32,9,0,2.8,2,0,0
1,34,13,12,3.179427085650958,3,1,1
1,47,24,15,3.1903304487147732,1,0,1
1,42,18,9,3.4552155790125605,3,1,1
1,28,0,0,2.7,2,0,0
1,32,5,2,2.9,3,1,0
1,25,0,0,3.141141676092051,2,1,1
1,38,9,5,3.483961627518144,0,1,1
0,25,3,0,3.0,2,0,0
0,38,12,0,2.9,2,1,0
1,24,0,0,2.9,2,0,0
1,37,9,5,2.724411133209002,2,1,1
0,26,0,0,2.7,2,0,0
0,37,11,6,3.248677401188707,3,0,1
1,33,7,2,2.914017015029821,2,0,1
1,30,1,0,3.0,2,1,0
1,29,5,2,2.8827615442063066,0,1,1
1,24,0,0,3.0,1,1,0
1,44,18,9,2.8461491736411713,2,0,1
1,32,6,2,3.2127421471327207,2,0,1
0,41,16,13,2.991300027880961,2,0,1
0,33,5,0,2.9,2,0,0
0,20,0,0,3.242123814679551,2,0,1
1,26,0,0,3.1,2,0,0
0,38,15,8,2.8,2,0,0
1,26,5,2,3.3763043530651116,2,0,1
0,40,14,13,4.0,2,0,1
1,22,0,0,2.4302204909186056,1,0,1
1,41,15,10,2.6,2,1,0
1,33,10,6,3.4361719832092374,1,0,1
0,25,4,0,3.022266374225625,2,0,1
1,33,7,6,2.846579362669185,3,0,1
0,33,4,0,2.7,1,0,0
0,31,12,11,3.46816328215314,3,0,1
0,26,0,0,3.1,1,0,0
1,20,0,0,3.0406911509143715,1,0,1
1,44,22,13,2.785094607240988,1,1,1
1,31,8,7,3.2215285067465773,2,0,1
0,39,12,10,3.518458482217108,2,0,1
1,27,4,0,2.6026559275797574,0,1,1
1,37,8,1,3.0,3,1,0
0,20,0,0,2.854592017307575,2,0,1
0,33,7,1,2.7,1,0,0
1,26,2,0,3.310433277315351,1,1,1
1,36,7,4,4.0,2,0,1
1,21,0,0,2.8,2,0,0
0,22,0,0,2.7,2,0,0
1,46,21,20,2.6,3,0,0
1,51,28,17,2.9823647068273287,0,0,1
1,41,18,10,3.0567819434858894,3,0,1
1,25,0,0,3.4903394864522417,2,1,1
1,46,17,16,3.3713635450760346,1,0,1
0,45,19,17,2.7,2,0,0
1,36,9,7,3.4106495632778446,2,1,1
1,35,8,7,2.6,2,0,0
1,35,3,1,2.9909886082354866,1,1,1
1,48,20,16,2.9,2,1,0
1,43,21,14,3.000004320258643,2,0,1
1,48,26,25,3.2798691256473567,1,0,1
1,37,15,9,3.438938715805851,4,1,1
1,33,7,5,2.3,2,0,0
0,22,0,0,3.3113705503805164,2,0,1
0,48,27,26,2.874050153409194,2,0,1
0,29,7,3,3.1,2,1,0
1,40,15,14,2.9788027821271337,0,1,1
0,34,12,6,2.921764521037753,2,1,1
0,22,0,0,3.1,1,1,0
0,24,0,0,2.8,2,0,0
1,28,0,0,2.8590046583774593,1,1,1
1,20,0,0,2.8,2,0,0
1,20,0,0,2.702239382760891,3,1,1
1,20,0,0,2.8011944157353783,2,1,1
1,42,13,6,2.7,2,0,0
1,35,6,0,2.9814101301612492,0,0,1
1,47,24,23,2.972920788095801,0,1,1
1,20,0,0,2.729783289842843,1,0,1
1,22,0,0,2.6,2,0,0
1,38,14,10,3.8495457097659886,0,1,1
1,40,17,14,3.2173126344763627,3,1,1
0,45,22,21,2.9464428541037244,2,0,1
1,53,33,29,3.3015584418239174,1,0,1
1,20,0,0,2.9480059071728,2,1,1
1,30,3,0,2.9,2,1,0
1,53,27,24,2.5,2,1,0
0,39,16,8,2.9,3,0,0
1,46,19,18,2.9,2,0,0
1,22,0,0,3.0303170680256986,2,0,1
1,29,9,6,3.2081698926240976,0,0,1
1,34,13,8,3.3589987589369468,0,1,1
1,41,10,9,3.290417048966807,1,0,1
1,23,0,0,3.3979735636729784,0,1,1
1,20,0,0,2.8,2,0,0
0,28,2,0,2.83756968839786,2,0,1
1,20,0,0,2.8,2,0,0
1,37,16,15,3.1,3,0,0
1,20,0,0,3.175671324785087,2,1,1
1,25,6,3,2.4503946578433524,1,0,1
1,43,14,11,2.8,3,0,0
1,44,19,17,3.8885501716285713,2,1,1
1,21,0,0,2.612384002870033,1,1,1
1,21,0,0,3.158832515645851,1,0,1
1,40,15,4,3.7152341902229016,2,0,1
1,51,27,19,3.9763376531985144,1,1,1
1,32,9,2,3.100474871938322,3,0,1
0,36,7,2,2.6,2,0,0
1,37,12,9,3.0,3,0,0
1,23,1,0,2.9288499942376705,0,1,1
1,35,13,12,3.095597525315782,1,1,1
1,20,0,0,3.6594964913489676,0,1,1
1,20,0,0,2.938970726799204,3,1,1
1,29,4,2,3.4388073971589748,0,1,1
1,20,0,0,3.4638702704304207,2,1,1
0,20,0,0,2.6,1,0,0
0,26,0,0,2.7,2,0,0
0,46,21,17,2.8,2,0,0
1,26,0,0,2.9,1,1,0
0,53,22,20,2.8,1,0,0
1,23,5,3,2.7731677177253955,1,1,1
0,26,0,0,2.8,2,0,0
0,39,19,18,3.4624665016707845,2,0,1
1,26,0,0,2.233905824071854,2,0,1
1,30,3,2,2.8,2,1,0
1,33,12,11,2.9959280165114395,0,1,1
1,42,17,16,2.538578549267805,1,1,1
1,21,3,0,3.121315118374841,1,1,1
0,55,26,18,2.6,1,0,0
0,44,16,11,2.7,1,1,0
1,32,9,3,3.186378920667848,0,1,1
1,28,5,0,2.7,2,0,0
1,38,10,7,2.830857879910269,2,1,1
1,38,8,2,2.9,2,0,0
1,20,0,0,2.9,2,0,0
1,23,0,0,3.3,2,0,0
1,43,17,16,3.328796124922205,1,1,1
0,22,0,0,2.8,2,0,0
1,35,12,11,2.395507763016174,1,1,1
1,45,24,23,2.9065607723885787,2,0,1
0,38,10,8,2.8,1,0,0
1,49,24,20,3.2358959789208113,2,1,1
1,33,9,8,3.0574331135541946,1,0,1
1,35,11,10,3.0634281676049224,2,1,1
1,24,0,0,3.0,2,0,0
1,22,0,0,2.9,2,0,0
1,32,1,0,2.8,2,1,0
0,27,0,0,2.638456520600226,2,0,1
1,40,17,15,3.268476498594466,1,0,1
1,40,15,11,2.755529749242851,3,0,1
1,42,19,8,2.407534773666424,2,0,1
1,48,23,19,2.561213210024032,1,1,1
1,30,9,0,2.792440889456055,1,1,1
1,38,12,6,2.586925483020603,2,0,1
1,38,11,10,3.718062057820142,2,1,1
0,31,7,0,2.6,2,0,0
1,40,19,14,2.6,2,0,0
1,48,20,12,3.4310799086270976,0,0,1
1,37,12,11,3.8433477052379836,2,0,1
1,42,16,14,3.229062026750357,1,0,1
1,32,6,4,2.7,2,1,0
1,44,17,12,2.5640152917455,1,1,1
0,33,14,7,3.3539259054148913,2,0,1
0,20,0,0,3.3287290576301913,2,1,1
1,37,15,14,2.7392167960784986,0,0,1
0,40,14,6,2.6,1,0,0
0,52,21,13,2.9,2,1,0
0,45,16,12,2.7,2,1,0
0,29,0,0,3.088106416316646,1,0,1
1,40,17,12,2.8659820230199804,1,0,1
1,49,24,21,3.323901467462079,1,1,1
0,20,0,0,3.167640643572714,2,0,1
1,20,2,0,3.281931986407242,3,0,1
0,44,16,1,3.4560690918005967,2,0,1
1,40,16,14,2.792294943502624,1,0,1
0,39,15,13,2.7,3,0,0
1,61,36,31,3.7925417533152146,1,1,1
0,24,0,0,2.9896289856828497,1,0,1
1,36,9,1,3.2200320322580103,0,0,1
1,36,7,6,2.850442309336637,0,0,1
1,63,35,31,3.0,2,0,0
1,48,21,14,2.9806380680608036,0,1,1
1,51,29,27,3.102556003463087,2,0,1
0,36,12,3,3.20290298012828,1,0,1
0,45,17,13,3.0,2,1,0
0,20,0,0,3.0,3,0,0
1,36,12,2,3.3181538234414747,2,1,1
1,39,10,9,3.0,2,0,0
1,42,17,4,2.894223704830119,1,0,1
1,36,12,9,2.5,2,0,0
0,34,4,1,3.0,1,0,0
0,27,0,0,2.7,2,0,0
1,42,20,18,2.8,2,1,0
0,20,0,0,2.7840856159465917,3,0,1
1,47,22,10,3.1898820434739674,0,0,1
0,37,12,8,3.0,1,1,0
1,26,6,0,2.9285637241296096,1,1,1
1,41,16,13,2.6,2,0,0
1,25,5,0,2.4918511497663194,2,1,1
1,51,24,21,2.9835968399988038,0,0,1
1,38,11,9,2.6,2,1,0
0,21,0,0,2.5,2,0,0
1,26,4,0,2.2683359941048353,1,0,1
1,35,13,7,2.9611137033391564,0,1,1
1,35,10,4,3.1,2,0,0
1,40,17,15,2.7,3,0,0
0,25,0,0,2.8,1,0,0
1,33,6,5,2.940054220081326,0,0,1
1,37,19,9,3.4016905027393074,1,0,1
0,20,0,0,2.6,1,1,0
0,29,6,4,2.769636335757997,2,0,1
1,31,12,4,3.2536818056854577,2,1,1
1,34,10,8,2.7,3,0,0
0,37,14,12,2.6053843680011637,2,0,1
0,31,7,6,3.0526558158189063,1,0,1
1,20,0,0,3.400085715063244,1,0,1
1,34,10,8,3.5390954354975586,0,1,1
1,23,0,0,3.391891873053985,2,0,1
1,20,0,0,3.570998384966998,2,1,1
1,32,3,0,3.1,3,1,0
1,30,6,0,3.4393433853767306,2,0,1
1,20,0,0,3.3178985180912512,1,0,1
1,38,11,9,2.8,2,0,0
1,42,21,18,3.599134546953169,0,0,1
1,37,14,13,2.5,2,1,0
0,49,24,22,3.461425263066801,2,0,1
1,30,0,0,2.7,2,0,0
0,52,24,21,2.7,3,1,0
1,40,10,7,2.6,2,1,0
0,48,21,16,2.9797185019683035,2,0,1
0,37,12,0,2.9,2,0,0
1,42,25,19,3.4205813425998244,0,1,1
1,57,28,23,3.2008369493996214,1,1,1
1,35,10,3,3.0,2,0,0
1,42,24,14,2.983775400631621,0,1,1
1,32,9,2,2.688920199496885,0,1,1
1,33,6,0,2.282833740821668,2,0,1
1,38,15,14,3.4511679823640664,1,1,1
0,31,7,0,2.6,2,0,0
1,47,18,17,2.5,2,1,0
0,35,8,2,3.0,2,0,0
1,43,25,17,3.0,2,0,0
0,25,0,0,3.502521308237938,2,0,1
1,39,12,9,3.0216629385091602,0,0,1
1,20,0,0,3.287013577234419,2,1,1
1,31,8,3,2.6653064489431713,0,1,1
0,20,0,0,3.1,1,0,0
1,20,0,0,3.223423297184784,1,0,1
1,44,23,21,3.7125739291399547,0,0,1
1,20,0,0,3.3,2,1,0
1,21,0,0,3.0,2,0,0
0,20,0,0,2.9,2,0,0
1,45,16,10,2.970401830525785,1,1,1
0,28,4,2,2.6,1,1,0
0,25,0,0,3.2,1,0,0
0,37,11,1,2.7,2,0,0
0,34,6,1,2.6,1,0,0
0,24,0,0,2.9,1,1,0
0,29,0,0,2.7,2,0,0
0,32,9,3,3.499243042510914,1,1,1
1,29,7,4,4.0,1,1,1
0,43,19,13,2.8,1,0,0
1,37,9,8,2.6,2,0,0
0,35,14,3,3.1273818659536787,3,0,1
1,37,21,13,2.929281919504709,2,0,1
1,35,19,15,3.6975382561766783,1,0,1
0,35,8,1,3.2,2,0,0
0,23,0,0,3.0,1,1,0
1,44,26,17,2.5292128510818874,1,0,1
1,46,21,14,2.719398460546957,3,0,1
1,23,5,0,3.0895863678710875,2,0,1
1,27,2,1,3.3395834396656907,1,0,1
1,42,12,10,3.4456170220112563,1,1,1
1,30,1,0,2.6,2,0,0
1,51,26,23,3.397095022219621,1,0,1
1,46,16,12,3.391415892891084,1,0,1
1,26,1,0,3.423589234523107,2,1,1
0,43,19,15,3.1,3,0,0
1,41,19,15,3.093442737467298,0,0,1
1,35,6,5,2.4,3,0,0
1,47,20,9,2.6,2,1,0
1,25,1,0,2.8,2,1,0
0,34,6,3,2.6,2,0,0
1,20,0,0,2.9582999209265193,3,1,1
1,41,18,17,3.0,3,0,0
1,31,7,2,2.8969117309768646,1,1,1
0,49,24,21,2.9,1,1,0
1,29,3,0,3.5086228621514346,2,0,1
0,36,10,2,3.0265791990425304,2,0,1
0,23,0,0,2.8,1,0,0
1,22,0,0,3.291381330105674,1,0,1
1,38,11,9,3.1,2,1,0
1,33,12,11,2.996085739014771,2,0,1
1,39,10,0,3.330842679338552,1,1,1
0,37,8,3,3.0,2,0,0
1,23,0,0,2.9231911399018853,2,0,1
1,51,28,26,4.0,0,1,1
1,52,25,24,2.9,2,1,0
1,36,14,13,3.0291862040164412,3,0,1
1,33,8,2,3.300132811880455,1,0,1
0,20,2,0,3.2243537496324564,3,0,1
1,41,19,16,3.1135988181738115,2,1,1
1,46,19,17,3.3216054237122052,1,1,1
1,32,2,0,3.2745020680059014,2,1,1
0,39,16,6,3.114703274661718,2,0,1
0,20,0,0,2.6,2,0,0
1,33,10,3,3.8883733659328232,0,1,1
1,32,5,0,2.4,3,0,0
0,52,23,21,3.0671400020104898,1,1,1
1,42,21,14,3.1945474000775853,1,0,1
1,40,13,8,2.7,2,0,0
0,31,5,3,2.9343750017711723,2,0,1
1,47,22,21,3.018686094949968,3,0,1
1,28,0,0,3.6491321068264493,1,1,1
1,32,8,0,2.658819530763452,1,1,1
1,38,16,13,2.3083289112471657,1,0,1
1,38,15,13,2.6003609575352655,2,1,1
1,34,9,5,2.3669102465566523,0,0,1
0,24,0,0,2.7,2,0,0
1,34,4,0,2.6,2,0,0
1,26,5,0,2.4225331986429213,3,1,1
0,37,12,8,2.9,1,0,0
1,25,0,0,3.351089961897206,0,1,1
0,22,0,0,3.0785877878427588,2,0,1
1,36,12,9,2.8,1,0,0
0,22,0,0,2.8735179032249625,1,0,1
0,35,8,5,2.5,2,0,0
0,33,11,6,2.6767783427540217,2,0,1
1,34,13,0,2.957933353928808,2,1,1
1,51,26,25,2.6,2,1,0
1,30,4,0,3.7923107849431306,2,1,1
0,26,1,0,3.0,2,1,0
1,31,4,2,3.7629816821293027,3,1,1
1,20,0,0,2.9714566645322815,2,0,1
1,23,0,0,2.8,2,1,0
1,36,9,3,3.0,3,0,0
1,26,0,0,2.5447249659847544,2,1,1
0,41,13,11,2.6,2,0,0
1,51,31,25,3.3892349226820953,2,0,1
1,20,0,0,3.5334245740956383,0,0,1
1,20,0,0,2.674116263458499,1,1,1
1,23,5,0,3.497516188504247,0,0,1
1,31,6,5,4.0,1,0,1
1,30,6,0,3.1,1,0,0
1,32,6,5,2.6,2,0,0
1,24,0,0,2.7641539235793537,0,0,1
0,26,6,3,2.946200289726412,3,0,1
1,20,0,0,3.483131471303585,1,1,1
1,45,22,16,3.056630794962945,1,0,1
0,52,21,19,2.9,2,0,0
0,38,10,3,3.0,1,0,0
1,30,7,1,2.7395196289084107,1,0,1
1,20,0,0,3.4498894834735516,2,1,1
0,28,0,0,2.8,1,0,0
1,43,17,15,2.7,2,0,0
1,35,12,5,3.1,2,1,0
1,39,19,11,3.4636048061337856,0,0,1
1,25,0,0,2.7,3,0,0
1,20,0,0,3.3,3,0,0
1,38,12,8,2.7859454934646624,2,0,1
0,22,0,0,2.6,2,0,0
1,30,6,4,2.6,1,0,0
1,36,7,4,2.6911270940229035,2,0,1
1,20,0,0,3.4360780587183015,2,1,1
1,20,0,0,3.342996598134205,1,0,1
1,38,15,11,3.3567907312073704,1,1,1
1,30,9,4,2.809272358297936,1,0,1
1,35,9,3,2.9014422363203773,1,0,1
1,45,24,21,2.973521629528634,1,0,1
1,20,0,0,3.1980139240507848,0,1,1
0,47,18,15,3.0,2,0,0
0,33,9,4,2.8,0,1,0
0,32,9,7,3.0,1,0,0
0,20,0,0,2.9,2,0,0
1,27,0,0,2.7,2,0,0
1,46,23,13,2.977479402461317,2,0,1
0,54,34,29,2.8357665951674598,2,0,1
1,23,0,0,2.5,2,0,0
1,26,0,0,3.584616200786259,2,1,1
1,20,0,0,2.7,3,1,0
1,30,7,3,3.0684922288602445,0,0,1
0,27,0,0,2.6,2,0,0
0,49,21,18,2.356922959578761,2,0,1
1,22,0,0,2.934626517418613,1,0,1
